author,updated_at,like_count,text
@wowwow3100,2023-12-30T08:43:04Z,97,男版蔡英文 vs 蔡英文2.0
@4289qwert,2023-12-30T12:54:48Z,67,柯表現很吸引新人。但他可能之前沒有調查過不投他的人有什麼原因，沒有針對那一部分臺北人給出回應。這樣的失敗有一點可惜了。
@user-rh3pv7nh8j,2023-12-30T12:50:38Z,65,賴蕭配，侯康配，柯吳配
@maggiechen99,2023-12-30T23:00:12Z,43,支援 侯友宜總統組織聯合政府，各部會首長如下佈局：總統：侯友宜副總統：宋楚瑜。行政院長：趙少康。立法院長：韓國瑜。司法部長：黃國昌。考試院長：管中閔。監察院長：柯文哲。外交部長：吳欣盈。教育部長：曲桂芝。內政部長：李四川。經濟部長：郭臺銘。流浪動物協會所長：賴清德。地店茶館館長：蕭美琴。
@user-Gilbert-zhang,2023-12-30T11:10:00Z,42,賴清德若當選，那就說明國民黨真的爛泥扶不上牆了，大陸會放棄臺灣政黨堅持九二共識的幻想，當選當天必有軍事，經濟反制的強烈措施，臺海就真的山雨欲來風滿樓了
@lyangpc,2023-12-30T10:10:30Z,40,柯P我支援你
@momoyoung,2023-12-30T10:36:56Z,38,臺灣總統選舉是'人類(Terran) vs 蟲族(Zerg)'會戰(韓文 : 테저전)!民進黨 & 反中派 : 人類(Terran)國民黨 & 中共 : 蟲族(Zerg)
@Leo-qk3wd,2023-12-30T11:32:21Z,36,我是中國大陸公民，但看這場辯論會，如果我是臺灣選民，不帶任何政治立場，我會投票給柯文哲。我認為，賴清德是這場辯論中口才最好的，邏輯思維很清晰，比較文明禮貌，但是政治觀點不務實，操縱意識形態，列舉事實無法有力佐證觀點。對選民而言，有時候更像是公開的合理的撒謊，大打感情牌欺騙選民。侯友宜辯論的口才需要提高，辯論的思維邏輯有待提高，說話語義需要清晰。侯友宜的政治觀點是比較客觀的，對臺灣的長遠發展有利，但描述模糊不清，所列證據難以讓選民信服。柯文哲思辨的口才也不錯，不大打感情牌，談無用的政治見解，觀點鮮明務實，能夠站在人民的根本利益去思考問題。
@peggyyuan5051,2023-12-30T08:28:46Z,34,"為何柯文哲的言論只能講給弱智或涉世未深的這些人聽，很簡單啊，共產黨也是用這手法搞紅衛兵文化大革命，就是先分化，批評、謊言、再講願景，通常這種招數最後就是追隨者只有""後悔""，因為歷史上希特勒及毛澤東是最經典先例。"
@Gary-uo7sf,2023-12-30T08:44:51Z,34,穿西裝結領帶感覺蠻帥氣呢
