author,updated_at,like_count,text
@damian561,2023-12-30T08:58:12Z,172,背骨科
@ask2888,2023-12-30T09:15:24Z,138,強大的
@user-zs2zl4wn1g,2023-12-30T12:47:35Z,129,臺灣看到馬雲，都那樣了，怎麼選就很容易了，
@user-iy1hl6tf6y,2023-12-30T08:48:16Z,102,說空話的不投
@lorinli5816,2023-12-30T09:26:30Z,99,民進黨執政8年、百姓苦不堪言
@user-hc8sr5lo8y,2023-12-30T10:12:21Z,95,只要不要讓中國人來臺灣搶工作，跟臺灣學生比內捲。其實我還是會投，目前政策聽起來柯是最好的。賴還差了一點，大概是風評太差了，還有貪汙，所以我會比較支援柯。人要為自己做的事承擔一定的責任，所以不管有沒有當選，也希望不要怨恨他人。不要問說為什麼不講侯，因為我聽不懂，他的邏輯沒有很清楚。目前想法為 ： 柯文哲
@yichinlin8047,2023-12-30T09:10:18Z,92,看完只覺得民進黨又要贏了
@user-ev6xj2kl6n,2023-12-30T09:07:05Z,88,臺灣被所謂的「統獨兩派」搞得很被動。以中華民國憲法之名、臺灣要獨就獨、想統一中國就統、中共能怎樣。
@tfox4132,2023-12-30T09:13:06Z,85,能不能用標準語言，真的是，亂七八糟
@user-zh3qx9vd1i,2023-12-30T08:27:15Z,84,臺灣目前要的東西很清楚，那就是完全成為一個民主自由獨立的臺灣，而不是守著中華民國這個假外殼！侯柯這兩位跳樑小醜說到底就是沒膽量和中共對抗，不敢得罪習近平。如果連這個基本維護臺灣主權保護臺灣人民和財產的膽量都沒有的話要怎麼統領臺灣成為一個國家？當下也只有賴清德成為臺灣總統才能讓臺灣完全擺脫中共的侵害成為一個獨立國家！
@user-vm7nn9jp6t,2023-12-30T08:46:55Z,80,柯完勝
@jazzoscarkwan,2023-12-30T08:36:14Z,76,猴果然是猴啊，從頭到尾的抨擊
@triarm2023,2023-12-30T08:43:56Z,72,香港人可以移民的都移民了，看看現在破敗成什麼樣子了！
@user-kn5nl4wq4l,2023-12-30T09:27:27Z,70,賴清德大機率成為臺灣的澤連斯基（烏克蘭總統）
@amberhsieh0,2023-12-30T10:30:31Z,69,公然造謠抹黑，綠營應該提告
@user-by1xu9th7k,2023-12-30T09:18:51Z,68,侯友宜真的只想跳過
@user-ww9jh5gv9s,2023-12-30T15:06:49Z,68,看完這場辯論會，發現侯的魄力很ㄘㄨㄚ，正義感十足，面對黑道不妥協，不虧是警校出身的警官子弟。不過他似乎忘了一件事，他抨擊的執政黨是有牌的黑道，能輕易利用公權力，請傳統媒體封鎖你、公家單位查水錶、名嘴抹黑抹紅….如同電影-少林足球，經典臺詞：「裁判、球證、旁證、技術委員、主辦、協辦，所有單位都是我的人，你們怎麼跟我鬥！」
@MrMIKEBULEDOG,2023-12-30T08:54:43Z,66,之前對賴神不瞭解，這次整場看完覺得有點賭爛他。
@user-wc5qs3zg7m,2023-12-30T09:39:57Z,65,只有我覺得賴主席的眨眼平律很高嗎
@user-np5wq8is9x,2023-12-30T08:29:02Z,60,為什麼不敢直接說洩密要加重刑責趙天麟事件
@wangchi-8180,2023-12-30T17:30:20Z,54,1:35:43 這是自己在打自己臉嗎？怎麼沒感覺他是正面面對呢，他總是辯解別人比他更差，而沒有回應他自己的問題。
@user-kl3hf7sq1z,2023-12-30T08:56:22Z,49,賴清德的演講的內容定會實現，民主會延續。支援賴，蕭。如囯民黨執政，兩岸統一邁出第一步，馬，洪等十三妖塔牛鬼蛇神舉妖合歡慶祝。
@chien_hsunhuang5925,2023-12-30T08:56:53Z,48,猴子 答非所問
@lings734,2023-12-30T08:52:23Z,48,選對的人！選柯文哲！有眼睛有智慧的人都知道要投給柯文哲！支援1號柯文哲！柯P加油
@user-ow5xh8zz8n,2023-12-30T10:10:59Z,47,不要92 臺獨 一國兩制所以是什麼
@vn1213,2023-12-30T09:01:14Z,45,我看到這個 只會想起布袋戲一個經典人物講的話！有誰想跟我當場解決他們的…..看到他們都不是說真心話 互相提防彼此！替西瓜化妝 都比在這辯論 有意義
@AMYAMY-lr4ib,2023-12-30T08:33:41Z,45,網路柯粉都在霸凌別人真的很可恥.
@user-uw7zp1ry1q,2023-12-30T09:27:28Z,43,賴可以的，有點那種味道了
@user-uj6go7mi9d,2023-12-30T08:43:40Z,43,其實我是想投柯的，但他不會上，那隻能投侯了
@LimPehYujiItadori,2023-12-30T11:28:38Z,42,什麼是共識叫做“你說你的我說我的”，我不討厭趙少康，但你趙少康這樣硬凹，我真的覺得很蝦。聯合報真會拉仇恨，這種爛報你不抵制？
@xinfan0926,2023-12-30T11:19:19Z,42,1:52:42 咳…咳咳咳……咳咳…咳…
@user-zy9es6vo9x,2023-12-30T09:34:00Z,41,臺灣特偵組模仿香港廉政公署，現代錦衣衛？。共產黨深度干預
