author,updated_at,like_count,text
@andyliao0425,2023-12-30T09:02:22Z,52,候選人怎麼都沒提到成立合法性專區？讓想躺著用鮑魚賺錢的女人可以正大光明的性交易啊？讓嫖客恩客不用躲躲藏藏?這不是很棒的政策嗎？
@damian561,2023-12-30T08:57:14Z,30,"[我很期待""聯合政府""] (綠白 藍白 我都沒差) 因為小黨不能沒有舞臺與聲音! 若成將創造歷史滿崇尚英德等國 讓小黨的人當上部長 分到權力 才能反映多元的民意!1.三黨不過半 強迫組成聯合政府 拒絕""少數總統"" 不要少數決定多數 2.總統制或內閣制都好 一定要讓總統或首相上備詢臺 被立委監督! 總統不可有權利 卻沒有責任! 臺灣的總統權力浮濫到超過美國總統不要""畸形的雙首長制""  要讓中華民國的憲政與五權分立做出重大修正![我沒喜歡過北市兩任期的柯文哲 他優點有 缺點也多]  柯支持者說 他做了很多藍綠做不到的事情 我同意~   我討厭柯的是 他嘴巴承諾得多 做到的少(過於唬爛) 言過於實但 柯做的""少"" 內容還是比執政黨.民進黨做的多 藍綠沒啥好酸柯的ex. 柯文哲當年參選臺北市長時喊出「8年5萬戶」 喊得很大聲 但他坦承任內真的有做完的只有2萬戶 達成率只有25% 然而 總統蔡英文的8年20萬戶 更是跳票到不行!!什麼「既有」 +「新完工」+「興建中」+「已決標待開工」 都計入 最多勉強算5萬戶 達成率不到25% 連柯文哲都不如臺北市確實是全臺蓋最多社會住宅的縣市我理想中的政治人物 do as promise 而非do less than promise [以前的民進黨 很好 有理想有抱負]五十年前的國民黨 很好 有理想有抱負現今的民進黨/國民黨 腐敗 失去黨魂民眾黨 尚未建立核心黨魂 超越藍綠 下架藍綠 是虛的 不能視為一種價值[我想對侯友宜說的話]口才口條真的不行 不能說超爛 但真的偏爛 當新北市長 真的很會默默做事...ok 但要當總統不只要會做事 更要會講話 話都講不好了 怎麼取得人民信服怎麼號召中間選民 鼓舞人心 說沒有總統的格局與人設 確實是如此侯在很多場合或辯論中 針砭時事有點到 但不夠扎實 沒有針對臨場做應變防守時 身為在野黨就是要實問實答 只有民進黨才能有那種執政的傲慢只怪朱立倫主席 沒有把對的人 放到對的位置上若人設已至此 也沒關係 你是警察 你是探長 就把你的強項拿出來""若我當選 所有犯罪的黑道通通抓起來 所有貪汙的官都抓起來""抓到幾個能打動人心的點 就會有票有支援[我想對賴清德說的話]直球對決 對民進黨內現存的貪汙.桃色.黑道問題... 痛定思痛 重整黨紀帶領民進黨找回黨魂 回到建黨的初心 一定可以吸引最多人的支援不要遇到別人批評 就一直跳針說別人是假訊息 假新聞你自己又何嘗不是造假 講資料也沒有引用資料 一張嘴要怎麼賴就怎麼扯身為執政黨 有自信點 有一說一 沒做到有跳票就承認 然後期許自己會改善 會做更好 才不會有那種執政的傲慢 令中間選民討厭"
@gentleman9710,2023-12-30T09:18:36Z,25,看完辯論本來深藍的我改投賴缺德賴缺德凍蒜～呵呵
@guandaya1,2023-12-30T09:05:12Z,25,真的不懂為啥會有人支援侯友宜….賴清德騙成這樣真的不想說了 強拆別人家 自己違法不處理 當選真的會變成賴近平柯 把他要怎麼做講得很清楚 該怎麼做做什麼都講得很清楚了請大家要有媒體視讀的能力要能獨立思考這邊有他媽這麼多留言長的一樣 不就是網軍嗎 不要讓自己成為隨波逐流的牆頭草 好好想想 誰才是真正會做事的人幫大家分析一下侯友宜走一個老實人路線 但是能力上執行力上我覺得不太夠賴清德在努力打造親民的形象 但是你去找一些新聞就知道了 他是怎麼做人做事的 柯文哲從他講話就知道 他可以清清楚楚的講出自己的政策 具體的說出來我們需要的是有能力會做事的總統而不是藍綠兩黨 ［很會打選戰的候選人］
@josephlin71,2023-12-30T15:38:45Z,22,柯文哲怎麼老是講賴清德又示範一次什麼叫詐騙 3:47:50 賴皮寮。民進黨不倒臺灣不會好
@user-ud5zx7yu9m,2023-12-30T08:35:16Z,16,"該拆不拆裡洗勒考北喔????????????????????????????????????????。哭吧,阿龜,真靠北,假眼淚,可以去演戲了我都看不懂了,差點幫她哭墳了。這是在新北市欸!哩系勒靠喔。頭期款都付得出來,是30年比較困難,還是侯總統幫我們付30年,頭期款我們自己解決?可以的話您一定當選。侯友宜第二階段,好像不是你說的算,那只是你想的,你2300w先要想怎麼跟11億人談好嗎?。只有柯文哲是針對問題回答.為什麼每場都有三立?"
@wendichWG,2023-12-30T09:28:56Z,16,侯侯這次表現真的很不錯
@user-lf2dh7bl5d,2023-12-30T08:31:32Z,14,身為年輕人的我，每每看著家中長輩面對新聞中執政者的荒唐行徑（高x疫苗、口罩採購弊案、貪汙⋯）對比我們這些市井小民的無能為力，請大家這次一定要幫臺灣改變未來‍♀️‍♀️年輕人的未來就靠柯文哲了‼️加油‼️
@GG-sv5il,2023-12-30T08:30:37Z,14,為何破壞農地做停車場... 柯: 咳咳咳我爸爸咳咳咳我爸爸咳咳咳我要當新竹院長咳咳咳咳咳咳咳
@daphnebb,2023-12-30T09:08:53Z,13,新北市是全臺灣治安最差的地方從未成年殺人到幫派火拼 毒品槍枝最氾濫的地方 自己新北市都沒關好還想當總統我可不想看到以後幼稚園有小孩吸毒持刀互砍畫面
