author,updated_at,like_count,text
@chillhihi4080,2023-12-30T10:58:01Z,175,聽說李洪誌這幾年就知道賭博了，而且是個賭癮很大的老宅男。
@user-py5hc5pj9l,2023-12-30T09:46:26Z,131,我是大陸人，我支援賴清德！
@user-ce5bv6hc7g,2023-12-30T10:53:31Z,122,賭一把柯文哲
@user-nr6rc2ko5p,2023-12-30T09:01:48Z,113,整場下來感覺侯特別明顯的被比下去了
@carolinecheng1347,2023-12-30T10:11:41Z,110,上下集看完，深感：侯友宜，的人品、立場、表達能力均堪憂，頻繁主動的對他人人身攻擊、陳舊不合時宜的政策及說辭、誇張的身體動作及虛假資訊；推出這樣的候選人，只能說明國民黨果然腐敗、落後無可救藥了…柯文哲，是個不錯的演講者、演員，而且辯論策略分析準備到位，表現不錯………看其藍白合出爾反爾故事及夥同侯友宜多次做人身攻擊看，其人品存疑，可能是個機會主義者賴清德，整體上處於守勢，在兩家合夥圍攻下，依然表現穩定不卑不亢，始終如一謙卑君子……我覺得這是臺灣在未來混亂時局中的希望。臺灣體量之小弱，相較於大陸危如累卵，只可小心謹慎；比之於全球通膨大勢，能有今日成績，多不容易。侯友宜的十大罪小黑板真是搞笑至極！賴終究還是太紳士，全過程相對被動，缺乏吸引中產階級及勞工階級的說辭及政治煽動性
@user-bj6wl4ys5x,2023-12-30T09:58:29Z,109,有三個選民，一人一張票，A用一張下架一個民進黨，B用一張下架國民黨，C用一張票下架國民黨跟民進黨，聰明的你們覺得哪一張票比較划算??
@kurtchang930,2023-12-30T08:53:12Z,106,貪官汙吏黑幫都能出來當選舉人，毫無底線卻迂腐的民主制度處處都是貪腐的弊端，不值一提
@dioblue138,2023-12-30T08:35:24Z,96,賴:虛偽.空談誤國！一本正經的胡說八道，落選後下調！做最低階的瓜果蔬菜蛋肉內銷售，這樣才能歷練接地氣。侯:實幹興邦，適合做將軍首領。柯:天之驕選，明大致，重情懷，有大慧，顧大局，真正認清本國實情，有能力帶領臺灣人民，一步一個腳印踏踏實實，不卑不亢！團結一致實現幸福高質量的生活！投1號:柯文哲
@user-ww9jh5gv9s,2023-12-30T12:47:23Z,87,"曾聖光捍衛民主自由https://youtu.be/eaYOio4F1lc?si=AJh2KNW9AzoGOCk0。靠實力謀求和平不靠一紙和平協議不靠放棄主權接受1992共識。國防自主並不會刺激中國因為中國侵略臺灣並非現在才有國防自主正是因應中國的野心而有所以不要倒因為果https://www.youtube.com/live/mBbdvwMUZmk?si=qtllyxAgR-k1EBQZ&t=2611。柯提終身監禁，確實是廢死的配套措施防微杜漸的好方法。廢死：這是各國都有的議題，以臺灣而言，尚未廢死雖無強制廢死，但執行死刑定讞前，得審慎考慮人權，並已訂有縝密的程式來執行死刑落第招待:2014年為紀念陳澄波120歲冥誕，而以公務的身分(臺南市長)前往參加位於上海的展出活動賴皮寮:新北市長握有都市計畫土地檢討的權利而從未提出檢討故不應怪罪到賴身上。Normal distribution所有的制度都可能變成無效這才是事實無論是執行或廢除死刑當強力執行死刑是可能讓犯案者一不做二不休當廢除死刑也可能讓人心存僥倖。捐不捐公益信託是承諾但尚無法按能依據故無法及時兌現請知悉。侯很奇怪最近老操臺語。大家若反對賴的臺獨定義(我們是主權獨立的國家，故兩岸互不隸屬)等於是丟棄我們目前是一個""國家""的狀態請大家深思 !!!。美國: 反對武力犯臺，反對臺灣獨立，以維持臺灣現狀蔡曾宣示繼承前總統(李、陳、馬)的兩岸政策故無需廢除ECFA表示蔡總統(臺灣)一直都是釋出最大的合作與善意反倒是中共可能以商逼政的風險、統戰的行為臺獨: 臺灣人有主權獨立，故互不隸屬我們是主權獨立的國家，故兩岸互不隸屬務實: 守護臺灣，建設國家、發展經濟、造福人民，。萬裡是新北市長管轄的範疇但侯並未籌畫礦區房屋管理制度相關證明如內政部宣告如下https://www.moi.gov.tw/News_Content.aspx?n=8&s=311370所以賴沒有錯，故不須認錯。內閣制是英國、日本的體制若這樣，總統就不用選了92共識，既然互不承認怎會有共識中共一直要介入選舉的統戰手法，怎會是和平相處、有共識的君子行為所以你侯不應提92共識。被吸收，是慢慢被請君入甕的冷水煮青蛙，直到入甕才知逼不得已或已有把柄在人手上所以要有保防教育並且加強國家認同同時針對穿針引線者予以擊破。民進黨從未對中有敵意哪來罪過你侯又胡扯。國家各級幹部，本來就不應與中交流即使交流也得報備例如中科院赴陸須報備或禁止所以不是吃個飯就沒事你侯又搞錯事情的輕重了就好像政府招標官員不應私下與廠商交流這不是賴兩套標準而是官方正式與私下交流的差異。臺灣割給日本後中共無權干涉就這樣而已。認不認同沒有標準答案就像你的家長教的都是對的嗎?批判性思考才是科學所以賴才說已民權、自由為其根本初衷。賴未反對憲法賴止舉出李登輝6次修憲以證明民國35年的憲法規劃不完全符合當前臺灣的發展並表示憲法是為民權、民主而生而已請侯不要亂噴。互相不承認主權，怎能對等交流你侯又錯亂了。1500萬內免頭期確實實用但轉售限制，銀行本身就有機制了新青安，本身就是首購+青年。大家內心並無因為陸機飛過而驚慌仔細看看臺灣人生活情況就知道。侯柯要與中和好但是中的意圖都是侵略性的、不平等的那要如何實現民進黨以自我防衛為優先才是真正務實。臺達電、中科院都在加薪請問民營、國營都加薪那民進黨還做不好嗎?。我承認柯P很會歸納但...斷交不是單方面的問題耶。加強國防實力，你國民黨卻在黨軍購...睜眼說瞎話。主權互不承認是國民黨與共產黨的事因為當時國共內戰臺灣於中日甲午戰爭乙割讓給日本主權應與臺灣無關國民黨戰敗逃來臺灣美國戰利品的臺灣於是託給國民黨管理所以不要再把國共的私事變成臺灣的事。沒有所謂大陸的92共識92共識，就是一起的、共同的承諾所以一定是大陸的，也是臺灣的所以當中國片面的宣讀92共識時，我們就不能再學中共講92共識因此國民黨不應再提92共識。臺灣人好(ㄏㄠˋ)客，所以一起逛夜市，體會在地小吃、風俗文化自然能夠拉近兩岸關係。走不走的通不是單方面的問題請侯搞清楚。人家都打過來，主動用手段邊緣化你，你還怪小英的錯你侯再抹ㄛ˙。中共收買呀、欺壓呀，才會斷交。核能，萬一與日本一樣那不就慘了飲鴆止渴。快篩有缺嗎? 疫苗不是還多到丟掉。國防自主難道是意識形態嗎?防人之心不可無，難道有錯。口號嗎? 長照2.0是實際陳時中沒有勤政愛民嗎?意識形態難道主張主權獨立是偏見嗎?。臺獨也沒錯因為中共本來就不缺土地是中共野心 所以你侯又論述錯了。臺獨是假議題臺灣主權獨立你侯今天才能選總統。你侯弱伍了，日本就不戴口罩，適當接觸才能提升免疫力。防疫，陳時中盡心盡力，你侯沒資格講。青年低薪承襲馬英九時代，況且小英基本工資連八漲。國會直播，哪來專制。兩岸緊張是中國一面欺壓。再生能源足夠到不用重啟核四，哪來缺電缺水是世界氣候異常，怎能胡亂怪罪"
@user-bj3sv6ko9y,2023-12-30T10:03:49Z,86,有這辯論會真的讓人民看的更清楚。不再是三民治及中視一言堂。ˉ相信臺灣人民能做出最正確的選擇！
