Element,Frequency
臺灣,1245
柯,820
柯文哲,696
兩,411
賴清德,334
侯,288
三,268
臺,243
一,223
中國,192
中華,175
1,173
賴,172
2,131
中,116
第一,100
臺語,99
3,89
美,83
美國,80
1號,74
國民黨,70
蔡,59
8年,57
臺獨,52
今天,50
4,49
清德,46
八年,45
百,41
2024,39
德,38
第二,37
92,37
韓,37
清楚,36
賴皮寮,34
2號,33
四,33
臺灣人,32
二,31
憲法,31
英,29
中華民國憲法,28
5,25
第三,24
10,23
1/13,23
蔡英,23
0,23
五,22
賴功德,22
侯友宜,22
日,22
八,22
九,21
十,21
郭,21
侯康,20
阿,19
28,19
胡,19
港,19
3號,19
99,18
7,18
蕭,18
巴,17
侯柯,16
30年,16
華,15
55,15
柯P,15
阿北,15
50,14
00,14
20,14
賴皮,14
29,13
20年,13
明明,13
香港,13
六,13
清,12
9,12
30,12
04,12
25,12
105年,12
明年,12
賴皮德,12
16,11
2023年,11
36,11
一號,11
53,11
第四,11
4年,11
2.0,11
8,10
14,10
趙少康,10
45,10
22,10
02,10
亞洲,10
謝謝,10
17,10
100,10
12,9
46,9
四年,9
陳水扁,9
2024年,9
中共,9
嘉,9
26,9
侯保柯,9
侯侯,9
臺北市,9
七年,9
47,9
吳乃仁,9
國語,9
陳,8
這幾年,8
44,8
明天,8
千,8
①,8
37,8
19,8
13,8
2022年,8
蔣,8
49,8
今年,8
43,8
臺北,8
100%,8
李,8
1000,8
39,8
️柯,8
40,7
18,7
40年,7
60歲,7
四年後,7
羅迪,7
三十年,7
百年,7
郭臺銘,7
投柯,7
智慧,7
24,7
6,7
中國國民黨,7
2300萬,7
一天,7
52,7
昨天,6
烏克蘭,6
48,6
108,6
100萬,6
柯p,6
14億,6
趙,6
七,6
24年,6
57,6
吳欣盈,6
1949年,6
華人,6
二二八,6
１分鐘,6
1450,6
劉厝莊,6
42,6
朱,6
民進黨,6
27,6
阿伯,6
千萬,5
9000億,5
陳澄波,5
35,5
一分鐘,5
31,5
陳復志,5
21,5
15,5
50年,5
3000,5
33,5
英國,5
中央,5
九二,5
7年多,5
34,5
23,5
54,5
聰明,5
12萬,5
第1,5
56,5
2020年,5
格局,5
38,4
2兆多元,4
總統格局,4
1500萬,4
馬政府,4
194,4
32,4
果柯,4
09,4
2018年,4
臺南,4
吳,4
林,4
千億,4
08,4
4萬,4
賴柯,4
113年,4
41,4
澳,4
30歲,4
孫志俊,4
閩,4
賴蕭,4
多年,4
F16,4
半天,4
柯文哲柯,4
阿扁,4
盧炳欽,4
白蓮,4
四年前,4
幾十年,4
01,4
8年前,4
8分鐘,4
20多年,4
3萬,4
400,4
8萬,3
112年,3
劉,3
黃珊珊,3
103,3
援國民黨,3
97,3
07,3
北京,3
一年,3
二十,3
6萬,3
520,3
2014,3
2004年,3
65歲,3
歐,3
賴桑,3
法,3
南京,3
柯麟,3
2003年,3
朱立倫,3
200億,3
第6,3
宋楚瑜,3
101,3
環島民調資料大公開,3
柯阿北,3
英文,3
11,3
90歲,3
大陸,3
58,3
2017,3
20歲,3
4個月,3
明,3
二十年,3
35年,3
2分鐘,3
共產黨,3
第2,3
閩南語,3
8千多億,3
蕭美琴,3
65,3
16年,3
1年,3
300萬,3
宋,3
萬,3
功德,3
10幾天,3
閩南,3
113,3
20萬,3
03,3
第3,3
賴缺德,3
5年,3
嘉義市,3
10分鐘,3
馬,3
幾年,3
梅林,3
13號,3
87,3
59,3
嘉義,3
兩分鐘,3
澳洲,3
希,3
10多坪,3
中央社,3
謝謝柯,3
10萬,3
37.5,3
一次,3
30萬,3
06,3
高虹,3
10~20萬,3
３０萬,3
20~30萬,3
中國共產黨,3
４,3
武漢,3
潘木枝,3
清楚邏,2
半,2
42歲,2
維尼,2
香,2
洪,2
龐,2
30000元,2
24929,2
幾十年前,2
25年,2
46.3,2
15年,2
85,2
1兆元,2
烏,2
870億39,2
7年半,2
46.5,2
146.1萬,2
2~1,2
中文,2
韓國,2
賴侯,2
46.11,2
5000~7000元,2
46.9,2
2.4兆元,2
28萬,2
64,2
東西,2
5544,2
747億,2
17500,2
2009~2016年,2
毛澤東,2
6號,2
26400元,2
43萬噸,2
8日,2
50萬,2
十年,2
2800億,2
27.1,2
三年,2
35.4,2
66,2
9萬噸,2
141,2
2672,2
46.15,2
民眾黨,2
川,2
54.1,2
15%,2
119,2
101萬噸,2
23.66,2
1/13號,2
64685,2
阿根,2
5275,2
140億,2
80萬噸,2
蘇,2
俄,2
3976億41,2
範,2
之一,2
2016 年,2
政黨,2
107年,2
44.3,2
2022 年,2
30.4萬,2
四個月,2
陳菊,2
0~6歲,2
142,2
呂惠敏,2
12160億元,2
80萬,2
24.1,2
89,2
110年,2
一半,2
46.14,2
3400,2
25億,2
OKOKOK侯康,2
46.13,2
10八,2
石門,2
46.1,2
1200億40,2
第4,2
墨,2
臺海,2
92年,2
2200億元,2
歐洲,2
顏,2
澤連斯基,2
六千元,2
13000元30,2
33公頃,2
賴賴,2
1150億元,2
46.7,2
20年前,2
333,2
2012年,2
謝,2
3000億元,2
3兆元,2
17344億元,2
3340億美元,2
46.19,2
臺灣臺灣,2
恆春,2
津,2
88,2
萬千,2
27年,2
李敖,2
47942021年,2
7960億,2
兩天,2
普丁,2
17.5,2
5000元,2
4 年,2
一個月,2
幾分鐘,2
1+12,2
44.6萬,2
4800億,2
20008,2
11.4%,2
明後年,2
清末,2
白,2
淡江大橋,2
2023,2
25秒,2
6.6,2
2年,2
賴神,2
2015,2
14歲,2
雙,2
2萬,2
八年前,2
黃國昌,2
北,2
1.5,2
臺灣年,2
王義川,2
中國國x黨,2
25億2018,2
96,2
樑,2
2.5,2
蔡英文,2
18年,2
漢,2
數十年,2
五分鐘,2
前幾天,2
3分鐘,2
郭粉️柯,2
侯基,2
柯承諾,2
32811美元,2
40-60,2
40歲,2
馬英九,2
50歲,2
蔣萬安,2
這幾個月,2
胡錦濤,2
109億2019,2
6000,2
8年後,2
浙江,2
柯皮,2
侯趙,2
戚,2
法院,2
2024/5/20,2
十幾年,2
二十年前,2
543,2
藍,2
美洲,2
第8,2
3千萬,2
83.3年,2
美德,2
500,2
30億,2
七年多,2
費國民黨,2
林唐煌,2
1986年,2
1萬,2
303億2021,2
3年百年,2
兩年,2
１,2
979億2022,2
200多天,2
90多歲,2
多年來,2
50%,2
964億,2
207億2020,2
辜,2
９２,2
印,2
華語,2
9023,2
第十,2
89.2萬,2
22年,2
129,2
46.16,2
11日,2
46.20,2
邱毅,2
黃,2
7~8,2
12號,2
9日,2
46.18,2
2000,2
7日,2
46.8,2
30年前,2
25萬噸,2
45%,2
百萬,2
23091,2
200多坪,2
2016,2
46.2,2
2021年,2
27470元37,2
46.4,2
46.17,2
柯柯,2
吳欣,2
05,2
4300,2
胡元輝,2
10172億元16,2
南靖糖廠,2
二號,2
二十萬,2
王鐘麟,2
15萬,2
9019億14,2
300億,2
兩個月,2
32%,2
9110億元,2
30%,2
10多年,2
108年,2
20秒,2
柯保侯,2
民國憲法,2
3.0,2
歐盟,2
柯文哲什,2
東森,2
 國民黨,2
745天,2
90,2
20萬噸,2
賴空德,2
五百萬,2
第14,2
臺語音,1
8+9,1
1.35,1
30秒,1
6.55米,1
8米,1
1.75,1
6米,1
九二年,1
2023/12/29號,1
柯文哲胡,1
柯導,1
楚,1
臺灣海峽臺灣,1
十幾億,1
2022/12/29,1
34512019年,1
43歲,1
臺灣普,1
好柯,1
台海峽,1
菲洲,1
賴輕德,1
228,1
柯萊,1
臺灣島,1
臺灣省,1
2、30秒,1
草尼瑪,1
56歲,1
侯賴,1
二三十歲,1
清楚侯,1
9000多億,1
2002年30多歲,1
500 多天,1
臺灣籍,1
美國籍,1
2002年前,1
こん,1
80,1
120萬,1
新竹,1
趙天驎,1
央,1
27歲,1
賴功德 賴空德 賴皮德,1
二年,1
黨產,1
32.0%,1
1971年,1
林鄭,1
柯＞賴,1
50年前,1
加,1
陳儀,1
當年,1
疆,1
柯桑,1
侯桑,1
張嘴巴,1
柬埔寨,1
侯先森,1
6-7,1
1.2028年,1
百年內,1
西歐,1
三春秋,1
280坪,1
幾千萬,1
果走國民黨,1
1.多億,1
20幾,1
高安安,1
亞歐洲,1
大,1
年年,1
3個多月,1
三八十,1
嘉義分社,1
邱創仁,1
三千餘,1
鍾季友,1
蔡金爝,1
三百,1
首次,1
3月7日,1
蘇憲,1
東京美術學校,1
嘉義市長,1
13日,1
陳漢平,1
嘉義火車站,1
蔡雄,1
3月25日,1
12日,1
第二十,1
黃水樹,1
黃埔軍校,1
防衛司,1
陳庚辛,1
436,1
施珠文,1
盧鎰,1
10日,1
數日後,1
日清楚,1
2019年1月18日,1
 共產黨,1
②,1
賴阿德,1
95%,1
阿柯,1
第10,1
民進黨的10宗罪,1
第9,1
第7,1
1000多億,1
第5,1
十萬,1
柯文哲明,1
新北市政府,1
1萬3千,1
光芹,1
臺灣總統格局,1
林智,1
4.0,1
小,1
120%,1
2050,1
1500,1
邱莉莉,1
03年,1
222,1
剝皮寮,1
柯侯,1
臺灣國際團結法案,1
1977年,1
5年前,1
2千萬元,1
賴皮寮胡,1
澎湖,1
近6年,1
臺北市松山區,1
146號,1
145,1
臺灣國,1
1-20年,1
蔣渭水,1
黨內,1
六分鐘,1
九100,1
臺北市民,1
8號,1
灣國,1
凌晨,1
鵞,1
84號,1
1977,1
美國聯邦眾議院,1
寮,1
劉厝莊莊,1
劉傳來,1
朝,1
鮑威爾,1
2028年,1
2024 年,1
2032年,1
黨,1
李洪,1
黨軍,1
第招,1
1992,1
臺北巿,1
粵語,1
普京,1
烏凱雯,1
中方,1
三十萬,1
兩三萬,1
