author,updated_at,like_count,text
@tearicehan,2024-01-22T10:26:37Z,0,男版蔡英文 vs 蔡英文2.0
@adazhu4329,2024-01-15T19:41:27Z,0,柯表现很吸引新人。但他可能之前没有调查过不投他的人有什么原因，没有针对那一部分台北人给出回应。这样的失败有一点可惜了。
@arieltct,2024-01-12T10:54:31Z,1,賴蕭配，侯康配，柯吳配
@ping3642,2024-01-12T10:18:11Z,2,"支持 侯友宜總統組織聯合政府，各部會首長如下佈局：
總統：侯友宜
副總統：宋楚瑜。
行政院長：趙少康。
立法院長：韓國瑜。
司法部長：黃國昌。
考試院長：管中閔。
監察院長：柯文哲。
外交部長：吳欣盈。
教育部長：曲桂芝。
內政部長：李四川。
經濟部長：郭台銘。
流浪動物協會所長：賴清德。
地店茶館館長：蕭美琴。"
@user-ew9fi1xb7y,2024-01-08T15:20:08Z,0,赖清德若当选，那就说明国民党真的烂泥扶不上墙了，大陆会放弃台湾政党坚持九二共识的幻想，当选当天必有军事，经济反制的强烈措施，台海就真的山雨欲来风满楼了
@TollyMox,2024-01-07T16:34:30Z,0,柯P我支持你
@seong-yoonkim9826,2024-01-06T01:23:54Z,0,"台灣總統選舉是'人類(Terran) vs 蟲族(Zerg)'會戰(韓文 : 테저전)!
民進黨 & 反中派 : 人類(Terran)
國民黨 & 中共 : 蟲族(Zerg)"
@user-rv2vu2qx7x,2024-01-05T09:43:20Z,2,我是中国大陆公民，但看这场辩论会，如果我是台湾选民，不带任何政治立场，我会投票给柯文哲。我认为，赖清德是这场辩论中口才最好的，逻辑思维很清晰，比较文明礼貌，但是政治观点不务实，操纵意识形态，列举事实无法有力佐证观点。对选民而言，有时候更像是公开的合理的撒谎，大打感情牌欺骗选民。侯友宜辩论的口才需要提高，辩论的思维逻辑有待提高，说话语义需要清晰。侯友宜的政治观点是比较客观的，对台湾的长远发展有利，但描述模糊不清，所列证据难以让选民信服。柯文哲思辨的口才也不错，不大打感情牌，谈无用的政治见解，观点鲜明务实，能够站在人民的根本利益去思考问题。
@user-sf2hd6bp3y,2024-01-04T21:07:57Z,0,"為何柯文哲的言論只能講給弱智或涉世未深的這些人聽，很簡單啊，共產黨也是用這手法搞紅衛兵文化大革命，就是先分化，批評、謊言、再講願景，通常這種招數最後就是追隨者只有""後悔""，因為歷史上希特勒及毛澤東是最經典先例。"
@user-ng2np3to2n,2024-01-04T11:48:32Z,0,穿西裝結領帶感覺蠻帥氣呢
@VRUAN,2024-01-03T23:38:49Z,0,"如果大家不健忘的話，2020年一月二日，離現在整整兩年，當時的參謀總長空軍上將沈一鳴在宜蘭上空摔飛機殉難。他乘坐的是黑鷹直升機，他自己又是空軍，這飛機摔得很奇怪，雖然事後國軍立刻封鎖消息，禁止公開評論，黑匣子的錄音和錄訊被列入機密，從未公開。但因爲機上有人生還，因此失事的過程也被一點點的泄露，疑點也時刻被人關注。 
最令人匪夷所思的是：當天天氣晴朗，能見度極佳，不是個出事的天氣。直升機筆直下墜，看起來是失去動力，但搭載參謀總長的飛機維修和機況不可能不佳。直升機並未發生爆炸，失事并非因爆炸物引起。有乘客指出：“螺旋槳便在這時捲入異物，機身便在5秒後墜落。“
來源：【https://tw.news.yahoo.com/史上「最高軍階」殉職空難】
“有運安會成員指出，機體曾一度下沉，雖然動力系統正常運作，卻無法成功將機身拉起。”
看起來直升機的機翼是被異物所撞擊，可能是一塊石頭，一隻鳥，一粒子彈，或者小型的飛行物。
當螺旋槳和異物碰撞時，即使很小的東西，也會將其折斷，雖然發動機依然運轉，直升機必然失速墜落。 那麽和直升機對撞的異物是什麽？ 能夠飛到4，5千英尺高空的飛行物，除了黑天鵝和大雁外，大概只有無人機。 
我們擔心中共犯台，無所不用其極。在選戰的最後一周，如果要製造什麽事端的話，暗殺總統候選人應該是最容易和最有效的方式，也最能立即改變台灣的局勢，而暗殺的工具最容易的是由人造衛星操縱無人機。有過暗殺參謀總長成功的例子，沒有理由這次不再作嘗試。 
希望賴清德在最後的這幾天，提高警覺，做好最高的防護，以免中共得逞。"
@user-yw4ej6xh2z,2024-01-03T10:32:34Z,0,役苗，蛋，論文不要封存，這才是自由，民主
@user-yw4ej6xh2z,2024-01-03T10:16:14Z,0,綠黨貪真的利害
@eddielin6334,2024-01-02T15:48:41Z,0,賴的兩個兒子長年在美定居工作，有美籍。 難怪他勇敢唱台獨。
@user-un9om4vi1n,2024-01-02T15:11:09Z,4,柯文哲加油🎉
@user-un9om4vi1n,2024-01-02T15:08:56Z,1,支持柯文哲
@fyi151,2024-01-02T14:13:22Z,1,"理性務實科學黨講的很好聽，辯論會我頒給他第一名，但沒有信用，開的政策最後做不到就會怪東怪西，怪前朝
常常失言，我怕以後我會被笑，說你們總統怎麼講出這種話"
@gilgil5602,2024-01-02T13:43:36Z,1,柯文哲加油
@jifengzhang3606,2024-01-02T10:04:18Z,0,不知道为什么民进党执政这些年，掌握立法会，为什么不推动修改宪法？
@user-pq2fi8sv7d,2024-01-02T05:49:34Z,0,像趙少康這一種政見，我聽得都快暈倒了，只會強辯又不是在上唬爛節目
@user-pq2fi8sv7d,2024-01-02T05:48:59Z,0,趙少康真好笑，官邸不住，有權利把它給別人住嗎？又不是你家
@user-et3wq3br7o,2024-01-02T03:07:13Z,0,成立特偵組你是要恐嚇誰?警察當久了口氣像流氓
@user-et3wq3br7o,2024-01-02T03:05:36Z,0,老猴你那麼有錢，錢從那裡來，交代一下做公務員如何發大財。
@user-et3wq3br7o,2024-01-02T03:03:44Z,0,侯友宜沒有政策都是在攻擊其它候選人，口氣像流氓，還要成立特偵組要打擊異己，你看他從頭到尾都沒政見只有醜化可齒
@user-et3wq3br7o,2024-01-02T02:57:22Z,0,票選藍白黑金治國
@user-et3wq3br7o,2024-01-02T02:53:12Z,0,"Z


."
