author,updated_at,like_count,text
@user-uo5gv2ix3m,2024-01-17T09:11:34Z,0,背骨科
@user-ot3sr2up3l,2024-01-16T17:11:27Z,0,强大的
@langhai8027,2024-01-15T16:55:27Z,0,台湾看到马云，都那样了，怎么选就很容易了，
@junyfulton4406,2024-01-13T04:15:26Z,0,说空话的不投
@user-to6ib8bj7v,2024-01-12T02:12:38Z,0,民進黨執政8年、百姓苦不堪言
@user-km2hg6iq3m,2024-01-08T11:26:32Z,1,只要不要讓中國人來台灣搶工作，跟台灣學生比內捲。其實我還是會投，目前政策聽起來柯是最好的。賴還差了一點，大概是風評太差了，還有貪污，所以我會比較支持柯。人要為自己做的事承擔一定的責任，所以不管有沒有當選，也希望不要怨恨他人。不要問說為什麼不講侯，因為我聽不懂，他的邏輯沒有很清楚。目前想法為 ： 柯文哲
@user-wb7re8gi6s,2024-01-06T10:58:52Z,0,看完只觉得民进党又要赢了
@simonc0307,2024-01-06T06:31:27Z,0,台灣被所謂的「統獨兩派」搞得很被動。以中華民國憲法之名、台灣要獨就獨、想統一中國就統、中共能怎樣。
@JasonWang123,2024-01-05T09:12:34Z,0,能不能用标准语言，真的是，乱七八糟
@Llpljoy99,2024-01-04T02:22:57Z,0,臺灣目前要的東西很清楚，那就是完全成為一個民主自由獨立的臺灣，而不是守著中華民國這個假外殼！侯柯這兩位跳樑小醜說到底就是沒膽量和中共對抗，不敢得罪習近平。如果連這個基本維護臺灣主權保護臺灣人民和財產的膽量都沒有的話要怎麼統領臺灣成為一個國家？當下也只有賴清德成為臺灣總統才能讓臺灣完全擺脫中共的侵害成為一個獨立國家！
@yantingxu3623,2024-01-03T16:51:54Z,4,柯完勝
@wudavid409,2024-01-03T16:40:38Z,0,猴果然是猴啊，從頭到尾的抨擊😂
@JT-cw6id,2024-01-03T03:37:45Z,0,香港人可以移民的都移民了，看看現在破敗成什麼樣子了！
@h.a.m.5220,2024-01-02T23:50:12Z,0,赖清德大概率成为台湾的泽连斯基（乌克兰总统）😊
@626jj,2024-01-02T16:08:06Z,0,公然造謠抹黑，綠營應該提告
@user-fy4qu7fc1c,2024-01-02T11:02:16Z,0,侯友宜真的只想跳過🤣
@king80507,2024-01-02T10:52:30Z,0,"看完這場辯論會，發現侯的魄力很ㄘㄨㄚ，正義感十足，面對黑道不妥協，不虧是警校出身的警官子弟。

不過他似乎忘了一件事，他抨擊的執政黨是有牌的黑道，能輕易利用公權力，請傳統媒體封鎖你、公家單位查水表、名嘴抹黑抹紅….

如同電影-少林足球，經典台詞：
「裁判、球證、旁證、技術委員、主辦、協辦，所有單位都是我的人，你們怎麼跟我鬥！」"
@yesohreally6184,2024-01-02T07:15:26Z,0,之前對賴神不了解，這次整場看完覺得有點賭爛他。
@water00401,2024-01-02T02:50:49Z,2,只有我覺得賴主席的眨眼平律很高嗎😂
@user-rj8zy2ew8v,2024-01-02T02:12:03Z,1,"為什麼不敢直接說
洩密要加重刑責
趙天麟事件"
@smallbeetube,2024-01-02T00:11:03Z,0,1:35:43 这是自己在打自己脸吗？怎么没感觉他是正面面对呢，他总是辩解别人比他更差，而没有回应他自己的问题。
@SillyCommercial,2024-01-01T20:41:18Z,0,赖清德的演讲的内容定会实现，民主会延续。支持赖，萧。如囯民党执政，两岸统一迈出第一步，马，洪等十三妖塔牛鬼蛇神举妖合欢庆祝。
@gto-iu1qq,2024-01-01T20:01:31Z,1,猴子 答非所問
@fuckingdeeper,2024-01-01T16:11:06Z,6,"選對的人！選柯文哲！

有眼睛有智能的人都知道要投給柯文哲！

支持1號柯文哲！

柯P加油👏"
@user-bj9mu3kb4e,2024-01-01T15:17:18Z,0,不要92 台獨 一國兩制所以是什麼😂
@user-id2en2yq2k,2024-01-01T14:22:05Z,0,"我看到這個 只會想起布袋戲一個經典人物講的話！
有誰想跟我當場解決他們的…..看到他們都不是說真心話 互相提防彼此！
替西瓜化妝 都比在這辯論 有意義"
@edwardyang6798,2024-01-01T13:37:04Z,2,網路柯粉都在霸凌別人真的很可恥.
@xiangniu9486,2024-01-01T10:20:35Z,1,赖可以的，有点那种味道了
@user-sf4ek3iy2e,2024-01-01T07:16:37Z,0,其實我是想投柯的，但他不會上，那只能投侯了
@ccjccj,2024-01-01T07:01:15Z,0,什麼是共識叫做“你說你的我說我的”，我不討厭趙少康，但你趙少康這樣硬凹，我真的覺得很蝦
@Satomi92,2024-01-01T06:57:44Z,1,1:52:42 咳…咳咳咳……咳咳…咳…
@ccjccj,2024-01-01T06:54:31Z,1,聯合報真會拉仇恨，這種爛報你不抵制？
@Peter-kt9hx,2024-01-01T03:45:11Z,0,台湾特侦组模仿香港廉政公署，现代锦衣卫？
@Peter-kt9hx,2024-01-01T03:42:46Z,0,共产党深度干预
@user-te2zx3nr4e,2024-01-01T00:03:23Z,0,私，这种利用公权力谋私利行为比违法还可恶，对国家对人民的威胁更大，而且不容易发现，没办法整治和追究，所以侯友宜老谋深算在不违法的情况下却能利用手中权利赚大钱而逃脱法律制裁和追究才是最大的恶！！！
@user-rg8ml8lx5o,2023-12-31T23:59:18Z,0,"民進黨執政沒有守護臺灣。民進黨守護的是美國的利益，民進黨不愛臺灣、出賣臺灣。
美國的民主價值，在以哈戰爭中已經瓦解，民進黨無知還抱著好戰的美國，要把臺灣推向戰爭的深渊。
臺灣再交給愚眛的民進黨執政，臺灣只有繼續向下沉淪。"
