author,updated_at,like_count,text
@tablox-zv8gg,2024-01-04T07:45:54Z,0,候選人怎麼都沒提到成立合法性專區？讓想躺著用鮑魚賺錢的女人可以正大光明的性交易啊？讓嫖客恩客不用躲躲藏藏?這不是很棒的政策嗎？
@david30930,2024-01-03T15:11:40Z,0,"[我很期待""聯合政府""] 
(綠白 藍白 我都沒差) 因為小黨不能沒有舞台與聲音! 若成將創造歷史
滿崇尚英德等國 讓小黨的人當上部長 分到權力 才能反映多元的民意!
1.三黨不過半 強迫組成聯合政府 拒絕""少數總統"" 不要少數決定多數 
2.總統制或內閣制都好 一定要讓總統或首相上備詢台 被立委監督! 
總統不可有權利 卻沒有責任! 台灣的總統權力浮濫到超過美國總統
不要""畸形的雙首長制""  要讓中華民國的憲政與五權分立做出重大修正!

[我沒喜歡過北市兩任期的柯文哲 他優點有 缺點也多]  
柯支持者說 他做了很多藍綠做不到的事情 我同意~   
我討厭柯的是 他嘴巴承諾得多 做到的少(過於唬爛) 言過於實
但 柯做的""少"" 內容還是比執政黨.民進黨做的多 藍綠沒啥好酸柯的
ex. 柯文哲當年參選台北市長時喊出「8年5萬戶」 喊得很大聲 
但他坦承任內真的有做完的只有2萬戶 達成率只有25% 
然而 總統蔡英文的8年20萬戶 更是跳票到不行!!
什麼「既有」 +「新完工」+「興建中」+「已決標待開工」 都計入 
最多勉強算5萬戶 達成率不到25% 連柯文哲都不如
台北市確實是全台蓋最多社會住宅的縣市
我理想中的政治人物 do as promise 而非do less than promise
 
[以前的民進黨 很好 有理想有抱負]
五十年前的國民黨 很好 有理想有抱負
現今的民進黨/國民黨 腐敗 失去黨魂
民眾黨 尚未建立核心黨魂 超越藍綠 下架藍綠 是虛的 不能視為一種價值

[我想對侯友宜說的話]
口才口條真的不行 不能說超爛 但真的偏爛 
當新北市長 真的很會默默做事...ok 
但要當總統不只要會做事 更要會講話 話都講不好了 怎麼取得人民信服
怎麼號召中間選民 鼓舞人心 說沒有總統的格局與人設 確實是如此
侯在很多場合或辯論中 針砭時事有點到 但不夠扎實 沒有針對臨場做應變
防守時 身為在野黨就是要實問實答 只有民進黨才能有那種執政的傲慢
只怪朱立倫主席 沒有把對的人 放到對的位置上
若人設已至此 也沒關係 你是警察 你是探長 就把你的強項拿出來
""若我當選 所有犯罪的黑道通通抓起來 所有貪汙的官都抓起來""
抓到幾個能打動人心的點 就會有票有支持

[我想對賴清德說的話]
直球對決 對民進黨內現存的貪汙.桃色.黑道問題... 痛定思痛 重整黨紀
帶領民進黨找回黨魂 回到建黨的初心 一定可以吸引最多人的支持
不要遇到別人批評 就一直跳針說別人是假消息 假新聞
你自己又何嘗不是造假 講數據也沒有引用資料 一張嘴要怎麼賴就怎麼扯
身為執政黨 有自信點 有一說一 
沒做到有跳票就承認 然後期許自己會改善 會做更好 
才不會有那種執政的傲慢 令中間選民討厭"
@user-ci3bm9yz4f,2024-01-03T14:30:39Z,1,"看完辯論
本來深藍的我
改投賴缺德
賴缺德凍蒜～
呵呵"
@ljx0928,2024-01-02T21:08:58Z,1,"真的不懂為啥會有人支持侯友宜….

賴清德騙成這樣真的不想說了 強拆別人家 自己違法不處理 當選真的會變成賴近平

柯 把他要怎麼做講得很清楚 該怎麼做做什麼都講得很清楚了



請大家要有媒體視讀的能力
要能獨立思考

這邊有他媽這麼多留言長的一樣 
不就是網軍嗎 
不要讓自己成為隨波逐流的牆頭草 
好好想想 誰才是真正會做事的人

幫大家分析一下
侯友宜走一個老實人路線 但是能力上執行力上我覺得不太夠

賴清德在努力打造親民的形象 但是你去找一些新聞就知道了 他是怎麼做人做事的 

柯文哲從他講話就知道 他可以清清楚楚的講出自己的政策 具體的說出來


我們需要的是有能力會做事的總統

而不是藍綠兩黨 ［很會打選戰的候選人］"
@user-kx6ot7hr2b,2024-01-02T16:46:40Z,0,柯文哲怎麼老是講賴清德又示範😅一次什麼叫詐騙😂 3:47:50 賴皮寮
@user-nw8yn5dv2r,2024-01-02T16:26:06Z,0,該拆不拆裡洗勒考北喔????????????????????????????????????????
@user-nw8yn5dv2r,2024-01-02T16:10:55Z,0,"哭吧,阿龜,真靠北,假眼淚,可以去演戲了我都看不懂了,差點幫她哭墳了"
@evansu3619,2024-01-02T16:08:50Z,0,侯侯這次表現真的很不錯
@user-nw8yn5dv2r,2024-01-02T16:05:16Z,0,這是在新北市欸!哩系勒靠喔
@user-nw8yn5dv2r,2024-01-02T15:43:34Z,0,"頭期款都付得出來,是30年比較困難,還是侯總統幫我們付30年,頭期款我們自己解決?可以的話您一定當選"
