author,updated_at,like_count,text
@uuu-ig5cf,2023-12-31T06:31:47Z,0,"2022/12/29新聞
柯文哲卜賴清德卜侯友宜(莊家看好柯)
柯1:1.35,賴1:1.4,侯1:1.75。
新北市破獲總統大選地下賭場
網路社群提供下注、還強調大選近了，投注後不得改牌與退牌。
這是2023/12/29號的新聞！
還在看帶風向的鳥民調？!看真錢的賭盤才是最準！"
@ooq8901,2023-12-31T00:06:36Z,0,"~~賴面對問體，只有閃躲，硬拗，迴避，裝傻，抹黑，模糊不清，所開出政見都是蔡政府本該任期完成卻沒做到~~
民進黨都已完全執政7年多，只會用意識形態治國，問題與弊端連連，房物價飛漲，貧富差距加劇，操控國家機器與媒體，側翼，操作對立與仇恨，抹黑造謠，民主倒退，疫情嚴重時，缺東缺西，政策反覆，罔顧人民與醫護的性命安全，死傷慘重，當初承諾過百姓的勞工權益，居住正義，司法改革，前瞻計畫，長照計畫，能源政策，交通建設，幾乎全都跳票，還用特別預算，舉債2兆多元😡"
@geyonghong,2023-12-30T15:30:47Z,0,民進党就是李自成進城
@geyonghong,2023-12-30T15:18:08Z,0,賴皮療真的很刻薄，不堪大任
@user-pj1mc8dh9k,2023-12-30T13:15:02Z,0,這幾年🇹🇼大家在台灣省🇹🇼心知肚明.心照不宣利用🇹🇼台灣民意力量逼迫🇨🇳共產黨🇨🇳開革開放武力侵犯🇹🇼台灣省為藉口🇯🇵🐏🐱📷民進黨惡魔掏空🇹🇼中華民國臨時政府所在地台灣省，為防禦衛🇹🇼台灣省🇹🇼為藉口掏空🇹🇼台灣省經濟🌐🛳️✈️外匯存🌐底收入使台灣省負債🌐國際🌐債務。
@jlinliu2814,2023-12-30T09:02:25Z,0,認真思考投個有機會贏的！不然只是狗吠火車，綠能你不能！
@Guisuanna,2023-12-30T08:46:28Z,0,唯一支持赖神
@huanghome6340,2023-12-30T08:45:45Z,0,终于知道韩国瑜为什么那么有魅力了，柯当年没选是正确的。现在就看陆军谁厉害了，三国已经成立了。柯的年轻人和文化高的票一定高到天去。国民党只有这次机会，以后会变小三
@user-vx3hg7yi9q,2023-12-30T08:39:31Z,0,只會攻擊，無作為。
@jarkid,2023-12-30T08:37:01Z,3,侯友宜 講得好！口才內容不輸柯。而且對柯文哲釋出善意，支持唯一有機會政黨輪替的侯康配，柯才有出路，不然之後只會被綠打。
@Susan11888,2023-12-30T08:36:49Z,2,票投3號侯康配，人民有靠山
