author,updated_at,like_count,text
@HolleyaKulp,2024-01-21T00:03:47Z,0,聽說李洪誌這幾年就知道賭博了，而且是個賭癮很大的老宅男。
@usernameunremarked,2024-01-12T02:26:53Z,0,我是大陆人，我支持赖清德！
@tycjb,2024-01-10T18:16:34Z,1,賭一把柯文哲❤❤❤
@lanno7889,2024-01-09T16:44:30Z,0,整場下來感覺侯特別明顯的被比下去了😅
@YangsyKung,2024-01-09T04:55:52Z,0,"上下集看完，深感：

侯友宜，的人品、立場、表達能力均堪憂，頻繁主動的對他人人身攻擊、陳舊不合時宜的政策及說辭、誇張的身體動作及虛假信息；推出這樣的候選人，只能說明國民黨果然腐敗、落後👎無可救藥了…

柯文哲，是個不錯的演講者、演員，而且辯論策略分析準備到位，表現不錯………看其藍白合出爾反爾故事及夥同侯友宜多次做人身攻擊看，其人品存疑，可能是個機會主義者

賴清德，整體上處於守勢，在兩家合夥圍攻下，依然表現穩定不卑不亢，始終如一謙卑君子……我覺得這是台灣在未來混亂時局中的希望。台灣體量之小弱，相較於大陸危如累卵，只可小心謹慎；比之於全球通膨大勢，能有今日成績，多不容易。侯友宜的十大罪小黑板真是搞笑至極！賴終究還是太紳士，全過程相對被動，缺乏吸引中產階級及勞工階級的說辭及政治煽動性😂"
@lucas-xp5qx,2024-01-08T18:54:59Z,0,有三個選民，一人一張票，A用一張下架一個民進黨，B用一張下架國民黨，C用一張票下架國民黨跟民進黨，聰明的你們覺得哪一張票比較划算??
@user-ib6xl6ds2j,2024-01-08T17:57:38Z,1,贪官污吏黑帮都能出来当选举人，毫无底线却迂腐的民主制度处处都是贪腐的弊端，不值一提
@user-gd5xw6rq6i,2024-01-07T17:08:21Z,1,"赖:虚伪.空谈误国！一本正经的胡说八道，落选后下调！做最低级的瓜果蔬菜蛋肉内销售，这样才能历练接地气。
侯:实干兴邦，适合做将军首领。
柯:天之骄选，明大致，重情怀，有大慧，顾大局，真正认清本国实情，有能力带领台湾人民，一步一个脚印踏踏实实，不卑不亢！团结一致实现幸福高质量的生活！
投1号:柯文哲"
@agamagtdbt6027,2024-01-07T14:37:18Z,0,"曾聖光捍衛民主自由
https://youtu.be/eaYOio4F1lc?si=AJh2KNW9AzoGOCk0"
@agamagtdbt6027,2024-01-07T13:02:02Z,0,"靠實力謀求和平
不靠一紙和平協議
不靠放棄主權接受1992共識"
@agamagtdbt6027,2024-01-07T12:59:42Z,0,"國防自主並不會刺激中國
因為中國侵略台灣並非現在才有
國防自主正是因應中國的野心而有
所以不要倒因為果
https://www.youtube.com/live/mBbdvwMUZmk?si=qtllyxAgR-k1EBQZ&t=2611"
@bing-chehsieh6243,2024-01-07T11:47:51Z,1,有這辯論會真的讓人民看的更清楚。不再是三民治及中視一言堂。ˉ相信台灣人民能做出最正確的選擇！
@user-jm6fy6dz5p,2024-01-06T07:40:10Z,0,好可怜，作为总统候选人，都不敢明目张胆的独立
@user-ce8zp7cn7s,2024-01-06T06:53:27Z,0,台湾青龍年會出现一位明君就是賴肅絶配這是卜掛出来的加油
@vlatkoatanasovski1036,2024-01-06T06:46:16Z,1,"Believe - Romans 10 Chapter 9 : 10; and - 1 Corinthians 15 Chapter 1 to 4; The New Testament - Bible. Jesus Christ is Lord and God, Believe in Him, Jesus Christ Saves. Glory and Thanks to Lord and God Jesus Christ."
@wendehai3793,2024-01-05T20:09:23Z,0,必须坚决支持民进党赖清德当选台湾总统……
@jimchen1305,2024-01-05T18:00:54Z,0,真是笑话，侯友谊和柯文哲怎有脸站在人民的面前高谈謬论，食之无味这两人。
@arthurrobin3613,2024-01-05T17:57:07Z,0,候的方言太多了
