author,updated_at,like_count,text
@tm1056,2024-01-12T20:40:41Z,0,"互相攻擊沒有什麼好看的！開票就知道誰是贏家
賴：加油好嗎
侯：場合上請說國語
柯：除了您還有誰呢"
@johndao5870,2024-01-05T07:04:37Z,0,"國民黨還在用92共識欺騙台灣民眾。證據都在網上，請自行搜索驗證。😅😊😊😊

2019年1月，習近平：在《告台灣同胞書》發表40周年紀念會上的講話：

1）推動兩岸雙方在一個中國原則基礎上達成“海峽兩岸同屬一個中國，共同努力謀求國家統一”的“九二共識”。
2）堅決挫敗各種制造“兩個中國”、“一中一台”、“台灣獨立”的圖謀，取得一系列反“台獨”、反分裂斗爭的重大勝利。

中國大陸官媒人民政協報於2022/9/10 刊登一篇文章，指出要正本清源「九二共識」，強調「九二共識」只有「一中」，沒有「各表」。"
@user-mr6of4ss1q,2024-01-02T07:14:53Z,1,美國流行天后泰勒絲（Taylor Swift）人氣橫掃全球，明年將展開亞洲巡迴演場會，蔣萬安稱會邀請泰勒絲，讓台灣粉絲都非常期待；國民黨副總統候選人趙少康昨日（1日）下午在辯論會稱，他去年曾邀請國際巨星泰勒絲來台，對方因顧慮台灣地緣政治風險而作罷，頓時引發話題。台北市第五選區（中正、萬華）立委候選人吳沛憶酸說，與其發起話題、轉移焦點，不如正面回應質疑比較正道。
@knowmemore-caddymanual.2632,2023-12-31T19:08:33Z,0,哇哩咧，這是全國辯論會，賴真的以為有賴神，要煽動內閣制=‘’取消‘ ’“總統”民選，是要愚民騙騙騙到什麼地步，人民腦子還在內，真的受不了。
@user-ky3pg2rx1w,2023-12-31T16:55:39Z,0,賴清德不比鯿票，台灣人民永遠支持民進黨
@shuhewu2369,2023-12-31T09:28:27Z,2,不管是谁，为人民着想第一，不要成为别人的棋子。加油！
@basara424,2023-12-31T09:10:36Z,0,三位都沒用 博版而已
@user-xy9qo6if7m,2023-12-30T21:07:35Z,4,這種場合侯友宜說臺語不妥。
@user-xy9qo6if7m,2023-12-30T21:06:31Z,1,你就是不想讓別人聽懂你的話嗎？
@josephchien8771,2023-12-30T20:28:13Z,0,侯友宜台語流利 鏗鏘有力 真正欸思台灣人的好總統啦!!! 👍👍👍
@user-vg4nq8wl2n,2023-12-30T18:57:47Z,0,柯說賴的 房屋漏水 是民眾講的 不是賴  柯請認真找資料
@user-vg4nq8wl2n,2023-12-30T18:47:05Z,0,柯文哲不行 申論 仇恨值太高了 當選 社會 不會 和諧
@steves3372,2023-12-30T18:42:45Z,0,賴清德最棒 有世界觀 與 國家治理觀念 一級棒
@steves3372,2023-12-30T18:26:45Z,0,賴清德最公正 能帶領台灣走向安全富足和平的未來
@wakelearn04,2023-12-30T18:15:23Z,0,看完覺得賴清德從頭到尾都在抹紅別人 然後再被狠狠反殺 政策全都是守護台灣之類的屁話 這種人當選真的好嗎？😅
@steves3372,2023-12-30T17:23:01Z,0,台灣早就獨立啦  外省人好害怕 不是嗎?
@user-vg4nq8wl2n,2023-12-30T17:20:53Z,0,賴 申論 說的 很好 說在心裏 .中肯. 實在.
@BH19940,2023-12-30T16:34:42Z,7,唯一支持柯文哲
