author,updated_at,like_count,text
@user-he8lo7ep9w,2023-12-30T17:00:26Z,1,"冥示好可憐哦～  觀看數就？  一個新聞台遽然！？
下面留言更4....  好了啦  不要在賄選了  不要再炒房地產了   好好做人    讓底下的記者們做記者真正的事  而不是扯上政治"
@skyo280280,2023-12-30T14:26:54Z,0,台灣早就獨立是有主權的國家，然而連美國都說不支持‘台獨’， 這是說我們被拋棄了嗎？。
@amyhuang5186,2023-12-30T13:35:13Z,3,藍白不倒台灣不會好
@user-yx7gz8wo6n,2023-12-30T11:14:19Z,0,候友宜結合柯文哲攻擊賴清德這是什麼總統政見會.太扯了這2個黨就是台灣毒榴
@user-yx7gz8wo6n,2023-12-30T09:43:44Z,2,柯文哲又在畫大餅
@user-yx7gz8wo6n,2023-12-30T09:43:03Z,2,候友宜沒有針對民視媒體發問回答
@user-yx7gz8wo6n,2023-12-30T09:37:25Z,4,柯文哲你所說的都是民進黨在實現的政策.民眾黨有清廉嗎？你自己有清廉嗎？農地變停車埸賺黑錢
@user-yx7gz8wo6n,2023-12-30T09:33:26Z,0,背骨柯文哲還没學走路就想往上飛👎👎👎👎👎👎
@user-yx7gz8wo6n,2023-12-30T09:21:57Z,4,民進黨2号賴清德講真好👍👍👍👍👍👍
@1984Helloworld,2023-12-30T08:40:05Z,3,"當務之急：
督促各家民調提高數據透明度
讓真正關心民主的選民都能看到 原始數據，讓所有公民總能看到大家對 辯論 表現、對 政策認同 的 真實民意

目前，傳統民調總體上暗箱嚴重（僅一家開始公佈原始數據），結果是，傳統民調 與 歷年真實選舉結果 總是差距過大

新媒體民調 大多 存在有意無意的 取樣偏差，導致其中也常見 預測結果 偏離 事實，但由於整體數據透明度高，民衆还可以根據 原始數據 做加權校正自行檢驗

注：
在臺灣，目前唯一三腳督下最終所有名次預測正確率達到 100%，唯一歷次選舉前兩名歷史預測正確率 100%，原樣反映真實民意的民調的團體目前還只有 木炭民調(街頭有派對)
他們原始票數柯勝，初步加權後 賴37.5 柯36 侯27

我們不僅能看到其 原始數據，還能看到 調查過程
他們的每次調查，我們可以對其進行實時監督、事後檢驗

他們在全臺街坊，常見會 早市 和 日間/黃昏、夜市 搭配以平衡不同年齡層

在以 中青年 爲主的 夜市 上，白 總是勝出（只有兩場例外）
以 中老年 爲主的 早市 的票數上，綠 得票 有時接近 藍白 之和（臺北 等 則是 藍 勝 綠，都遠超 白）
在 各地 分場票數上，各黨各有領先

而最終彙總票，他們會根據縣市年齡加權後總體分析
（推薦他們《環島民調數據大公開》這集的詳細講解）

最重要的是：
有機會看到 大量 的真實的普通民衆講出自己支持或者討厭一個候選人的實際理由
（甚至孩子們也有發言的機會，雖然不給貼票；90歲 的老人也遇得到，甚至有時比年輕人表述更有條理）
看到大家所真實在乎的"
@user-gy2jh2dj4m,2023-12-30T08:35:39Z,0,候友誼選完新北市市長騙完選票！佬跑去選總統‘’買新北市土地！房地產！
