author,updated_at,like_count,text
@Balababa8,2023-12-30T09:50:17Z,2471,六位超過60歲的家人，在政見會與辯論會後，都確定投下人生第一次投給非藍營的票。由藍轉白，ㄧ切都是爲了我們後代子孫。堅定支持柯文哲。
@jingxiangxu8918,2023-12-30T12:42:04Z,2215,並不是當上總統才能得到人民的認同，而是得到人民的認同的人才有資格當總統。
@4289qwert,2023-12-30T13:01:27Z,2105,我原本不是柯粉，但看完這場辯論會讓我清楚的知道，台灣要改變跟進步，必須投柯文哲。
@damian561,2023-12-30T08:50:35Z,1689,侯友宜今天的表現很明顯了，他支持棄侯保柯來達成政黨輪替，侯侯是國民黨最後的良心
@sirw231,2023-12-30T10:53:55Z,1488,有沒有做功課，有沒有為台灣好的心，是驢是馬真的拉出來一看便知，我已經知道選誰才對得起自己的良心，感謝公正的電視辯論會。
@garrixwu1148,2023-12-30T13:10:27Z,1254,我是台中人，29歲，職業是鍋燒麵店老闆從第二場總統政見說明會之後就決定從現在開始店裡的電視輪著播三集政見發表會，還有辯論會，播到大選結束，幫幫柯文哲當然身為老闆我知道一間店是不能有政治色彩的，因為會影響店裡生意但播個政見發表會沒問題吧？我覺得有眼睛的人都可以判斷出誰的政見對台灣的幫助是最大的希望這段時間可以多拉幾張客人的票也希望號召所有台灣的小吃店老闆，看到這則留言也可以考慮用同樣方法號票這方法不花時間，但能拉一票是一票拜託各位老闆了謝謝大家
@user-jc1wc9gn4n,2023-12-30T13:05:24Z,1247,希望大家投票前都能看一下這個辯論賽，一目了然，要投誰，誰才是真正帶領台灣的人
@punk77,2023-12-30T08:36:03Z,1053,最後這場辯論會 證明了台灣引以為傲的民主社會及素養 持續深化及進步中藍綠雖然一直互相質問  但驚喜的是 辯論會就是以質問為重點 變成了互相切磋的畫面 柯文哲更不用說 火力全開 總統格局越來越明顯   總結 平心而論 這場辯論會非常好看 三個候選人都用盡全力   毫無保留  互相交鋒不管你要投誰  大家彼此尊重  因為 大家都是自由的 我們2024見  1月13號 記得投票
@wei2059,2023-12-30T08:35:18Z,906,不管誰問阿北，他都是正面回答，絕不閃躲，這種不是政治體系出身的，執行力超強，未來20年都不一定會有一樣的人，一定要支持他選上總統，改變台灣現況。
@sarahhsieh7730,2023-12-30T12:42:39Z,863,不貪污是最基本的，而非美德！這句話太震撼了
@user-jingjing8,2023-12-30T09:25:26Z,860,投柯是對的，頭腦很清楚☺️而且不會一直攻擊別人本來我不是柯粉，但看他的YT後覺得他很有智慧，真心對我們人民著想，漸漸變成是柯粉每天都會看他的影片增加自己的不同領域的知識
@aszx97531,2023-12-30T11:26:10Z,833,我以前是很不屑投票的人，你要說我是中間選民還是消極的國民都沒差。反正我現在快45了，真正能說服我去投票的候選人沒幾個，如今總算有一個人的政見跟態度能讓我服氣的去投票。我不會去考量候選人當選的機率或所謂的支持率，因為選舉不是賭博壓注，不是把票投給覺得會贏的人，是選擇一位讓我相信他會讓我看到更好的一個台灣的人。
@cnn101,2023-12-30T08:31:19Z,804,賴不回答問題，反問其他不相關的議題；侯答非所問；只有柯認真回答，簡單扼要，明瞭清晰。這次我決定投1號了！
@h20712920,2023-12-30T12:34:59Z,791,侯友宜給柯文哲兩次4分鐘的政見發表和廣告時間
@user-cx5ly2de1f,2023-12-30T09:03:38Z,776,14次預測成功率100%的街頭有派對的民調最新結果出來了，柯35.93%侯26.58%賴37.49%，還有郭的3000人民調也是柯坐二望一，為了政黨輪替，大家一起棄侯保柯
@lonlytoast17,2023-12-30T14:06:56Z,684,謝謝侯友宜最後的捨身攻擊柯粉全體敬禮
@dirkliu218,2023-12-30T08:28:23Z,671,看完這四場，更加確定1號候選人理性務實科學回答問題，有錯就認，適合當台灣人的總統。2號候選人適合打太極又適合開辦宗教，宗教宗旨：抗中保台，法號：空德，同時兼差賣保存無期限的產品：芒果乾。3號候選人正氣凜然的發言，適合當警政署長，台灣未來治安就靠他
@cool6084,2023-12-30T11:30:55Z,670,柯 : 1996年來~共總統大選7次~每次都聽到藍的要下架綠的~綠的要下架藍的...這次終於有機會可以同時下架藍綠...這句真它媽夠哭....我情不自禁笑出來...
@user-xv9dk4uq9k,2023-12-30T12:57:42Z,636,賴清德真的強，跟我高中厚臉皮的同學一樣，永遠都可以洗白自己犯錯的事情，然後再倒因為果的陷害別人。
@weber6833,2023-12-30T13:53:32Z,635,從來都是父母親要我投誰我就投誰，這次是我第一次決定要投給柯文哲，看完了更確定我的決定沒錯，也說服了家人支持柯，柯文哲加油
@andyhung8274,2023-12-30T13:28:11Z,613,這場辯論真精彩!有料~? 無料~? 大家應該都看清楚了!感謝台灣有民主政治!!
@michelleyang4752,2023-12-30T08:49:17Z,613,每個人想想，誰最能為國家（臺灣）長治久安，誰能讓社會更和諧，讓人民免於恐懼，讓我們的子女能快快樂樂上學上班，能平平安安回家。而不是憑一時的爽，而選了一個不負責的人及政黨。想想為自己為子孫投下你手中神聖的一票。與其過於浮誇的言論及政策還不如投一個實實在在會做事的人及政黨。
@s8815046,2023-12-30T18:56:43Z,600,50年前的台灣人若看到現在的辯論會應該會很欣慰民主的進步，同樣地我們也希望50年後的台灣人能記起2024年，因為曾經有一個人為了台灣義無反顧~
@user-jw6bp5mv2f,2023-12-30T12:19:33Z,584,看完政見發表會跟辯論會後我整個家族決定投柯，謝謝
@user-ml3us5sx9l,2023-12-30T08:26:29Z,561,這場辯論，從總統大格局言論國家願景還有各方攻防議體來看，已經非常清楚了。1號柯文哲吳欣盈唯一選擇。擺脫藍綠綁架，創造新文化新政府需要靠台灣人民來改變
@qinglinzhang7328,2023-12-30T14:23:32Z,543,我认真看完了2个小时，作为一个老看tvbs，和中天的大陆人，我开始理解为啥年轻人喜欢柯文哲了。我感觉只有他在认真回答媒体问题，回答对手的问题。认真的发表自己的政见。至于侯友宜因为说了很多台语我其实听不懂他说了啥，但是我感觉对于抓住对手的问题和缺点反应稍慢，怎么说呢，感觉是个老实人。至于赖清德，他对每个问题都含糊其词，顾左右而言他。其实对于他的内心所想我一个大陆人不怎么了解他就能猜出来，反过来看对于你们把台湾交到他手上感觉对于我们大陆是一种很好的结果。感觉这场辩论其实不是很精彩。另外三立这个媒体感觉很不中立，哪有对三位候选人问不同问题的，而且还难度不一样，表面工作都不做。另外我注意到只有赖清德没有戴你们的国旗徽标，同时也感觉到了他对中华民国和中国，对大陆这三者都同样的极度不友善，，大陆和台湾的军事能力差异目前是客观存在的，他如此的对这三者都如此的不友善。我觉得支持维持现状的台湾朋友要三思，要仔细的看看自己想要的是什么，是否是他要带领大家走的那个方向。
@funjack66,2023-12-30T09:18:26Z,523,不出所料，柯文哲表現最亮眼，不論政見發表會還是辯論會都是柯最好，從字裡行間可以看出是充分做好準備而來。加油！柯文哲，三組候選人中你最有總統的高度，誰是真心想解決台灣人民的問題，我們選民都看在眼裡，1/13義無反顧，我們全家、各縣市、全台灣人民都會去投你，把您送進總統府！為台灣人民做該做的事！
@aukawaraix,2023-12-30T13:10:36Z,518,"柯文哲的表達清楚邏輯清晰, 一樣是講 8分鐘, 他的內容是別人的10倍豐富。"
@yb.serendipity,2023-12-30T12:53:31Z,517,我覺得能有這麼多人，注意到柯文哲，並支持他，是因為柯文哲可以把，各個領域層面，複雜上的問題，簡單化，並在實質上，提出解決方案，就像他今天的辯論會，第二階段 媒體提問的環節上，只有他一個總統候選人，能直接回答 每個媒體業者，所提出的問題，而且能直接很清晰的，讓人理解他所想表達的東西，他也是我第一個聽到，能每天準時7點半上班的市長，他的各個政見與思想，都是以人民福祉為出發點，這份態度與他政績上的執行力，我很早就決定，把我手中的票，投給柯文哲，因為他讓我看到臺灣，是真的有未來的。
@user-ui3ls7px6p,2023-12-31T14:01:11Z,477,看了大家的留言 覺得柯是真的有很大的贏面 但還是希望大家不要只會在螢幕後面留言 13號出來投票才是對柯最大的支持 我是餐飲業的 當天已經排休 準備好要去投票了
@peterwang8898,2023-12-30T08:59:10Z,461,希望中華民國正義能戰勝邪惡..
@minyi3157,2023-12-30T13:48:33Z,458,27歲還沒投過票 這次首投柯！年輕人的未來自己救～希望大家都能多多關注政治，改變我們的未來
@chuanj8964,2023-12-30T08:47:06Z,451,祝福台湾，祝福台湾人，请珍惜你们手中的选票，这正是海峡对岸的人，渴望而不可及的。
@user-qu2mo8pg4w,2023-12-30T13:36:58Z,450,柯完勝其他兩位候選人！邏輯清晰，真心治國，解決台灣人民的不安；希望可為停止運轉好幾十年的台灣，再次點燃動力向前行。
@user-ey5sl9wv3v,2023-12-30T09:06:49Z,431,賴很讓人不悅的是，很愛把沒講過的話塞到別人嘴裡來攻擊，又很愛替執政成果灌水。
@user-hn9wo5eb3e,2023-12-30T11:14:04Z,426,懇請看到這則留言的你，給台灣個機會，這是三十年來台灣能重開機的唯一機會！
@user-uu8jr5tr5i,2023-12-30T17:04:05Z,424,很少關注政治阿北是第一個讓我想回家投票的！希望大家也不只是想想1/13一定要投下神聖的一票！
@user-ey3dj6yz4p,2023-12-30T21:47:27Z,412,我叔叔是深綠，這次我只是讓他好好看完3場政見發表會再來跟我說說想法昨天我問他感想如何？他告訴我：「我大概理解你們為什麼要我投1號了！這次就投1號吧！」
@user-wx2jx6bd5c,2023-12-30T09:15:48Z,378,看到留言一面倒都是投柯文哲我就放心了⋯⋯我嚴重懷疑侯友宜在輔選柯文哲但是我沒證據….
@eva1125_,2023-12-30T14:18:01Z,360,不貪污 是最基本的，而非美德！這句真的太讚了。唯一支持柯🇹🇼
@ririna0417,2023-12-30T15:11:28Z,352,那天為了兩倍薪水選擇去上班，看了今天的辯論會我決定上班前一定要去投票，柯柯加油♡♡♡永遠要覺得缺你一票！投了有機會不一樣！
@user-gq4yc2qf1f,2023-12-30T15:12:32Z,350,三位總統候選人的工辦政見發表會，國家經濟論壇與三位國家未來的領導人對談，三場總統候選人發表會，三位總統候選人辯論會，我都已經完整看完，唯一支持柯文哲
@y.t._tsao,2023-12-30T09:37:45Z,326,柯：實問實答，邏輯清楚侯：有時打有時閃躲賴：全部虛答、空泛撒謊、賣芒果乾堅定投柯️
@russellyuu829,2023-12-30T12:11:59Z,320,一場辯論會的過程讓我更篤定的感受到！作為未來國家總統的高度是必須要有怎麼樣的條件！而這個未來的總統他的智商明顯的說明什麼叫做「應對進退、認知未來」
@norpon,2023-12-30T10:40:56Z,309,希望這次的選舉大家能把注意力集中在誰的政見所規劃的未來是你想要的？從以往的政績來看，誰才能真正的落實他的政見？大家加油！
@johnnyg16800716,2023-12-30T14:05:12Z,304,我相信柯P這次出來選，是憑著一顆善良的心，肯做肯拚的信念，我一定會投他，而我投他只有一個理由 : 因為誠實善良，實事求是的人不會傷害老百姓!。聽到賴副一直說過去國民黨執政⋯⋯，我瞬間真的感覺到這8年是國民黨在執政
@moritakafumi3342,2023-12-30T11:58:16Z,303,感覺整體看起來 柯很清楚的再回答任何提問跟向其他候選人提問非常核心的問題。 反觀賴跟侯真的是只會互相攻擊還有答非所問
@user-ve5xy7dj9o,2023-12-30T11:14:46Z,302,大學畢業後就沒再投總統票了！ 隔了20年，柯p讓我重新了解何謂治國！決定要去投票了！希望台灣能給我們孩子有希望的未來！我們很多層面落後中國太多了！
@pony1313,2023-12-30T14:38:30Z,301,麻煩認真看完這三場政見會，一場辯論會，放下政黨意識，選出真的可以為台灣這片土地，為台灣人民服務的總統。我選擇柯文哲，邏輯清楚，執行力強，清廉勤政，台灣難得的總統候選人。改變台灣長年藍綠政治文化吧，拜託大家。
@kuo5119,2023-12-30T12:34:05Z,297,感謝柯主席在藍綠權貴的夾殺下還努力堅持著！辛苦了，1/13投非你不投！
@wilder9835,2023-12-30T14:40:34Z,294,其實最後那個相互握手 滿感人的 無論如何 都是因為有民主自由大家才看得到這個辯論 才有機會在直播聊天室 罵來罵去
@LoreyDream,2023-12-30T15:59:01Z,289,從以前到現在，只有阿北的政見發表會會讓我去追完，每一個都認真的看完！KP真的好聰明、口才又好阿北加油
@MCcoldcat06144,2023-12-30T15:54:03Z,286,我臺南人56歲我投柯文哲
@ApocalyptiChina,2023-12-30T12:17:32Z,284,精彩的辩论，让民众能够看清楚自己该支持哪位。无论贫贱富贵，你手里的一票都是等价值的。
@chivkingstar,2023-12-30T11:15:30Z,284,這場辯論是史上最精彩！
@user-lb3zd6wp8f,2023-12-30T09:39:45Z,276,只有柯在講人話，其它2位說話時都快睡著了...
@emma965403000,2023-12-30T16:29:08Z,273,我是在柯市長照顧下來台北工作10多年的彰化人，很深刻感受到臺北這八年的改變，不是一次性巨大的改變，而是一點一滴累積，以人民民生為優先的改革。從中正橋改建，交通更順暢！到住家附近增設人行道，解決行人用路的安全，到最難的市場改建，臺北有乾淨的市場！這是人民需要的，而不是透過中美對立的意識形態製造衝突的藍綠，我們需要新政治！支持柯文哲！
@ch_wang9894,2023-12-30T14:32:43Z,267,清廉勤政，我們需要一位有＂執行力＂掌舵者，帶領台灣走向未來，唯一支持1️⃣柯文哲！
@---we9nt,2023-12-30T08:50:15Z,265,當初因為市長辯論會愛上柯文哲今天又在重演一次 我只想說你辯論時媽的超帥超派
@kanbapohsu3396,2023-12-30T10:31:15Z,258,只有柯文哲針對提問，提出見解和解決方法。
@user-dq6sm4iw8q,2023-12-30T08:50:36Z,255,個人認為答辯精采度 柯>賴>侯被攻擊程度 賴>柯>侯賴攻擊的對象柯跟侯比例差不多柯的話攻擊賴多於侯約6比4侯的話感覺都在攻擊賴，詰問時還漏了問柯，結論時還幫柯說話罵賴哈哈。
@chinghongwong,2023-12-30T14:15:39Z,252,我彰化人43歲，唯一支持柯文哲
@easonchen6330,2023-12-30T17:08:05Z,250,等了30年，一個柯文哲的出現才讓我知道，總統應該要有怎樣的高度與遠見才夠資格當國家的領導人
@user-og6km7sd9v,2023-12-31T00:33:52Z,244,我是高雄市民，這次我願意出來挺柯P
@sphinxtan9158,2023-12-30T12:32:57Z,242,侯友宜多次跳過柯文哲，沒有對他進行提問。也多次跳過回應柯文哲的提問。不提問題攻擊柯文哲，又不反駁柯文哲的質疑，讓柯文哲白拿分。這。。。莫非是在替柯文哲助選? 
@user-nn6xb2ho4t,2023-12-30T08:52:51Z,239,這幾次政見發表辯論驚覺賴副真的很沒料
@youtubelearning-du1ec,2023-12-30T10:14:20Z,238,如果有三場全程看完，有長遠思慮的人都知道誰最認真、最適合當總統吧。拜託各位，剩10幾天，請拜託幫阿北全、力、拉、票固票！不到最後不鬆懈！藍綠會過去，民眾有未來
@user-zq8qr4ml2d,2023-12-30T17:42:49Z,235,我台北人45歲，從來沒投過柯，上次黃，我人在高雄也沒投，這次我投柯並至少拉了10票，沒有為什麼，就是希望政黨輪替，中止藍綠惡鬥，社會和諧。希望大家都要去投票，支持你心中最理想的總統候選人
@yihanchen,2023-12-30T13:45:12Z,234,台灣能夠透過舉辦‘’政見發表會‘’及‘’辯論會‘’去讓人民辨別想要支持的領袖進行投票選舉，這就是會令人嚮往的民主自由！
@user-tj6uh6uf2f,2023-12-30T16:48:34Z,230,作为一个大陆人，我感觉柯p是最现实，最贴近民众的，虽说民调都说他最低，感觉最后开票的时候应该很打脸那些民调数据！希望台湾的民众能选出来能够发展两岸关系，能够多交流的领导人，是台湾的福祉。
@user-oe6wd2kd1d,2023-12-30T15:21:51Z,229,第一次對總統選舉這麼有興趣。台灣的選哲
@user-qn5jh5os3y,2023-12-30T14:19:21Z,228,從來沒有看政見發表會，因為選誰政府都是一樣的但是這次我投柯，為了我的孩子，為了下一代，下架藍綠，送柯進總統府，給柯一次機會，都已經給藍綠太多機會了，給柯一次機會絕對不吃虧，柯一定要把身體照顧好，台灣人需要你
@kukuwang804,2023-12-30T14:43:59Z,228,為了我的後代，我會選柯
@mingjackgu2099,2023-12-30T12:34:51Z,228,我一个浙江人竟然完整的看完了3场政见会和这场辩论会
